 obs_wave   obs_eint  obs_pint
 314.0008 -4.6704e-01   -39.52
 314.0033 -2.2582e-01   -19.11
 314.0058 -2.0642e-01   -17.47
 314.0083 -3.1043e-01   -26.27
 314.0108  1.9556e-01    16.55
 314.0133  5.0823e-01    43.00
 314.0158  3.8597e-01    32.66
 314.0183 -8.0232e-02    -6.79
 314.0208  1.5234e-01    12.89
 314.0233  6.8739e-02     5.82
 314.0258 -1.3699e-02    -1.16
 314.0283  1.1956e-01    10.12
 314.0308 -3.2261e-03    -0.27
 314.0333  7.4906e-02     6.34
 314.0358  4.8684e-01    41.20
 314.0383  3.6777e-01    31.12
 314.0408 -3.9335e-01   -33.29
 314.0433 -3.1984e-01   -27.07
 314.0458 -3.3871e-01   -28.66
 314.0483 -4.3025e-01   -36.41
 314.0508 -3.6560e-01   -30.94
 314.0533 -4.0962e-01   -34.67
 314.0558 -2.4951e-01   -21.12
 314.0583 -1.4436e-01   -12.22
 314.0608 -1.4253e-01   -12.06
 314.0633 -2.5005e-01   -21.16
 314.0658 -9.7775e-02    -8.27
 314.0683 -5.5404e-02    -4.69
 314.0708  2.9420e-01    24.90
 314.0733  5.8320e-01    49.36
 314.0758  3.5526e-01    30.07
 314.0783 -1.0443e-01    -8.84
 314.0808 -8.9677e-03    -0.76
 314.0833  1.4357e-01    12.15
 314.0858  2.3333e-01    19.75
 314.0883 -7.6048e-03    -0.64
 314.0908 -1.7593e-01   -14.89
 314.0933  1.8275e-01    15.47
 314.0958  3.9190e-01    33.17
 314.0983  5.1140e-01    43.29
 314.1008  4.3235e-01    36.59
 314.1033  3.5966e-02     3.04
 314.1058 -2.8942e-02    -2.45
 314.1083  2.0617e-01    17.45
 314.1108  5.0719e-01    42.93
 314.1133  9.3260e-01    78.94
 314.1158  1.0107e+00    85.55
 314.1183  5.4236e-01    45.91
 314.1208  2.8171e-01    23.85
 314.1233 -2.5018e-02    -2.12
 314.1258  3.4164e-02     2.89
 314.1283  1.9974e-01    16.91
 314.1308  2.6142e-01    22.13
 314.1333  1.1585e-01     9.81
 314.1358  9.7641e-02     8.27
 314.1383  4.0392e-01    34.19
 314.1408  1.1215e+00    94.94
 314.1433  8.7919e-01    74.43
 314.1458  3.8212e-01    32.35
 314.1483  4.1050e-01    34.75
 314.1508  8.6899e-01    73.56
 314.1533  1.0223e+00    86.54
 314.1558  5.8874e-01    49.84
 314.1583  9.9209e-01    83.99
 314.1608  1.1125e+00    94.18
 314.1633  5.8750e-01    49.74
 314.1658  5.6359e-01    47.71
 314.1683  6.6081e-01    55.94
 314.1708  7.0550e-01    59.73
 314.1733  7.1876e-01    60.85
 314.1758  4.1785e-01    35.38
 314.1783  2.3490e-01    19.89
 314.1808  5.1336e-02     4.35
 314.1833 -1.7033e-01   -14.42
 314.1858 -2.2108e-01   -18.72
 314.1883  4.3743e-02     3.70
 314.1908  1.3994e-01    11.85
 314.1933 -3.9315e-02    -3.33
 314.1958 -1.6168e-01   -13.69
 314.1983 -1.3600e-01   -11.51
 314.2008  2.6646e-02     2.26
 314.2033  3.2016e-01    27.11
 314.2058  4.6118e-01    39.05
 314.2083  3.3809e-01    28.63
 314.2108  4.5992e-01    38.94
 314.2133  3.8915e-01    32.95
 314.2158  2.1983e-01    18.61
 314.2183  4.1712e-01    35.32
 314.2208  1.8255e-01    15.46
 314.2233 -9.9447e-02    -8.42
 314.2258 -2.4412e-02    -2.07
 314.2283  3.2439e-01    27.47
 314.2308  7.9338e-01    67.18
 314.2333  7.3474e-01    62.22
 314.2358  4.7198e-01    39.97
 314.2383 -1.6121e-02    -1.37
 314.2408 -3.1040e-01   -26.28
 314.2433 -2.4874e-01   -21.06
 314.2458 -2.1746e-01   -18.41
 314.2483  5.3418e-01    45.23
 314.2508  1.2339e+00   104.49
 314.2533  1.1348e+00    96.10
 314.2558  3.0593e-01    25.91
 314.2583  2.5916e-01    21.95
 314.2608  4.1615e-01    35.24
 314.2633  8.0489e-01    68.16
 314.2658  1.3280e+00   112.46
 314.2683  1.5474e+00   131.04
 314.2708  1.0560e+00    89.43
 314.2733  4.3048e-01    36.46
 314.2758  2.1136e-01    17.90
 314.2783  1.4233e-01    12.05
 314.2808  1.6349e-02     1.38
 314.2833  9.0977e-02     7.70
 314.2858  9.8083e-02     8.31
 314.2883  1.4041e-01    11.89
 314.2908  2.8352e-01    24.01
 314.2933  5.1682e-01    43.77
