 obs_wave   obs_eint  obs_pint
 669.9992  8.2589e-02    14.91
 670.0032  8.1021e-02    14.63
 670.0073  7.9144e-02    14.29
 670.0114  7.9848e-02    14.42
 670.0154  8.3697e-02    15.11
 670.0195  8.6688e-02    15.65
 670.0236  8.5294e-02    15.40
 670.0276  8.3299e-02    15.04
 670.0317  8.3539e-02    15.08
 670.0357  8.5626e-02    15.46
 670.0398  9.1373e-02    16.50
 670.0439  8.7473e-02    15.79
 670.0479  8.6995e-02    15.71
 670.0520  9.7156e-02    17.54
 670.0561  1.0012e-01    18.08
 670.0601  1.0192e-01    18.40
 670.0642  1.0300e-01    18.60
 670.0683  9.4569e-02    17.08
 670.0723  8.7018e-02    15.71
 670.0764  8.2368e-02    14.87
 670.0804  8.1093e-02    14.64
 670.0845  8.9326e-02    16.13
 670.0886  8.8723e-02    16.02
 670.0926  8.6769e-02    15.67
 670.0967  8.4485e-02    15.26
 670.1008  8.4205e-02    15.21
 670.1048  8.4055e-02    15.18
 670.1089  8.4531e-02    15.26
 670.1130  9.4609e-02    17.08
 670.1170  9.4096e-02    16.99
 670.1211  9.3453e-02    16.88
 670.1252  9.7138e-02    17.54
 670.1292  8.0383e-02    14.52
 670.1333  7.9669e-02    14.39
 670.1373  8.7228e-02    15.75
 670.1414  8.5297e-02    15.40
 670.1455  8.1176e-02    14.66
 670.1495  7.9426e-02    14.34
 670.1536  8.1792e-02    14.77
 670.1577  9.2151e-02    16.64
 670.1617  8.7866e-02    15.87
 670.1658  8.2292e-02    14.86
 670.1699  1.0289e-01    18.58
 670.1739  9.1269e-02    16.48
 670.1780  8.4251e-02    15.22
 670.1820  8.0289e-02    14.50
 670.1861  7.7157e-02    13.93
 670.1902  8.4803e-02    15.32
 670.1942  8.9444e-02    16.15
 670.1983  7.8786e-02    14.23
 670.2024  8.0901e-02    14.61
 670.2064  8.8232e-02    15.93
 670.2105  9.8958e-02    17.87
 670.2146  9.1704e-02    16.56
 670.2186  8.9668e-02    16.19
 670.2227  8.7411e-02    15.79
 670.2268  8.4725e-02    15.30
 670.2308  7.7724e-02    14.04
 670.2349  8.2587e-02    14.92
 670.2389  8.7947e-02    15.88
 670.2430  8.6367e-02    15.60
 670.2471  8.4907e-02    15.34
 670.2511  8.5472e-02    15.44
 670.2552  8.7952e-02    15.89
 670.2593  9.0852e-02    16.41
 670.2633  8.2466e-02    14.89
 670.2674  8.0491e-02    14.54
 670.2715  9.1593e-02    16.54
 670.2755  9.0121e-02    16.28
 670.2796  8.7766e-02    15.85
 670.2836  8.4557e-02    15.27
 670.2877  7.7156e-02    13.94
 670.2918  8.5397e-02    15.42
 670.2958  9.1120e-02    16.46
 670.2999  9.5835e-02    17.31
 670.3040  7.7732e-02    14.04
 670.3080  7.8323e-02    14.15
 670.3121  8.0808e-02    14.60
 670.3162  8.7646e-02    15.83
 670.3202  9.4769e-02    17.12
 670.3243  9.2478e-02    16.70
 670.3284  8.7457e-02    15.80
 670.3324  8.1602e-02    14.74
 670.3365  8.2576e-02    14.92
 670.3405  8.3839e-02    15.14
 670.3446  8.6840e-02    15.69
 670.3487  9.1579e-02    16.54
 670.3527  8.7279e-02    15.77
 670.3568  8.4614e-02    15.28
 670.3609  8.6791e-02    15.68
 670.3649  9.1290e-02    16.49
 670.3690  9.1117e-02    16.46
 670.3731  9.1054e-02    16.45
 670.3771  9.9796e-02    18.03
 670.3812  9.4543e-02    17.08
 670.3852  9.0224e-02    16.30
 670.3893  8.5908e-02    15.52
 670.3934  7.9839e-02    14.42
 670.3974  9.7049e-02    17.53
 670.4015  1.2416e-01    22.43
 670.4056  1.7674e-01    31.93
 670.4096  1.8073e-01    32.65
 670.4137  1.7222e-01    31.11
 670.4178  1.5550e-01    28.09
 670.4218  9.9417e-02    17.96
 670.4259  9.9119e-02    17.91
 670.4300  9.7193e-02    17.56
 670.4340  9.4823e-02    17.13
 670.4381  8.0860e-02    14.61
 670.4421  8.0283e-02    14.50
 670.4462  7.9687e-02    14.40
 670.4503  7.9012e-02    14.27
 670.4543  8.7950e-02    15.89
 670.4584  1.0343e-01    18.69
 670.4625  1.2320e-01    22.26
 670.4665  1.5782e-01    28.51
 670.4706  1.5562e-01    28.12
 670.4747  1.4337e-01    25.90
 670.4787  1.2598e-01    22.76
 670.4828  8.9288e-02    16.13
 670.4868  8.9545e-02    16.18
 670.4909  8.4222e-02    15.22
 670.4950  7.3101e-02    13.21
 670.4990  8.9058e-02    16.09
 670.5031  9.8176e-02    17.74
 670.5072  1.0135e-01    18.31
 670.5112  9.2267e-02    16.67
 670.5153  1.0406e-01    18.80
 670.5194  9.9855e-02    18.04
 670.5234  9.3233e-02    16.85
 670.5275  8.4949e-02    15.35
 670.5316  8.2804e-02    14.96
 670.5356  8.1430e-02    14.71
 670.5397  8.0988e-02    14.63
 670.5437  8.2089e-02    14.83
 670.5478  8.6666e-02    15.66
 670.5519  8.8906e-02    16.06
 670.5559  8.9563e-02    16.18
 670.5600  8.7322e-02    15.78
 670.5641  9.1277e-02    16.49
 670.5681  9.5511e-02    17.26
 670.5722  1.0148e-01    18.34
 670.5763  9.3336e-02    16.87
 670.5803  9.3504e-02    16.90
 670.5844  9.3108e-02    16.82
 670.5884  7.9841e-02    14.43
 670.5925  8.4988e-02    15.36
 670.5966  9.1376e-02    16.51
 670.6006  9.7866e-02    17.68
 670.6047  8.1765e-02    14.78
 670.6088  9.3351e-02    16.87
 670.6128  9.2449e-02    16.71
 670.6169  8.1032e-02    14.64
 670.6210  9.2469e-02    16.71
 670.6250  9.0053e-02    16.27
 670.6291  8.6821e-02    15.69
 670.6332  8.0509e-02    14.55
 670.6372  7.7628e-02    14.03
 670.6413  8.4939e-02    15.35
 670.6453  9.0860e-02    16.42
 670.6494  9.0838e-02    16.42
 670.6535  9.3718e-02    16.94
 670.6575  9.3974e-02    16.98
 670.6616  9.2961e-02    16.80
 670.6657  8.9213e-02    16.12
 670.6697  8.7153e-02    15.75
 670.6738  8.5629e-02    15.48
 670.6779  8.5439e-02    15.44
 670.6819  9.3105e-02    16.83
 670.6860  9.6220e-02    17.39
 670.6900  9.8357e-02    17.78
 670.6941  9.9921e-02    18.06
 670.6982  9.8589e-02    17.82
 670.7022  9.2894e-02    16.79
 670.7063  8.7634e-02    15.84
 670.7104  8.3462e-02    15.08
 670.7144  8.7205e-02    15.76
 670.7185  8.5423e-02    15.44
 670.7226  8.4033e-02    15.19
 670.7266  8.6444e-02    15.62
 670.7307  8.6561e-02    15.65
 670.7348  8.9033e-02    16.09
 670.7388  9.1374e-02    16.52
 670.7429  9.0674e-02    16.39
 670.7469  9.3396e-02    16.88
 670.7510  9.1057e-02    16.46
 670.7551  8.6861e-02    15.70
 670.7591  9.1334e-02    16.51
 670.7632  9.2224e-02    16.67
 670.7673  9.3446e-02    16.89
 670.7713  9.5577e-02    17.28
 670.7754  9.3675e-02    16.93
 670.7795  9.2542e-02    16.73
 670.7835  9.5720e-02    17.30
 670.7876  1.0322e-01    18.66
 670.7916  1.0776e-01    19.48
 670.7957  9.8327e-02    17.77
 670.7998  9.0939e-02    16.44
 670.8038  8.7035e-02    15.73
 670.8079  8.4151e-02    15.21
 670.8120  9.0437e-02    16.35
 670.8160  9.3134e-02    16.84
 670.8201  8.5005e-02    15.37
 670.8242  8.8992e-02    16.09
 670.8282  8.9178e-02    16.12
 670.8323  8.7820e-02    15.88
 670.8364  8.2684e-02    14.95
 670.8404  8.9944e-02    16.26
 670.8445  9.4009e-02    16.99
 670.8485  9.5696e-02    17.30
 670.8526  8.7546e-02    15.83
 670.8567  8.7346e-02    15.79
 670.8607  8.8921e-02    16.07
 670.8648  9.2462e-02    16.72
 670.8689  1.0396e-01    18.79
 670.8729  9.7096e-02    17.55
 670.8770  9.6252e-02    17.40
 670.8811  9.7371e-02    17.60
 670.8851  8.1715e-02    14.77
 670.8892  8.9195e-02    16.13
 670.8932  9.1896e-02    16.61
 670.8973  9.0905e-02    16.43
 670.9014  9.2216e-02    16.67
 670.9054  9.0475e-02    16.36
 670.9095  9.0425e-02    16.35
 670.9136  9.1816e-02    16.60
 670.9176  8.9551e-02    16.19
 670.9217  8.9630e-02    16.20
 670.9258  8.8310e-02    15.97
 670.9298  8.6127e-02    15.57
 670.9339  8.9992e-02    16.27
 670.9380  8.8800e-02    16.05
 670.9420  8.8471e-02    16.00
 670.9461  9.1492e-02    16.54
 670.9501  8.5682e-02    15.49
 670.9542  8.9571e-02    16.19
 670.9583  9.2844e-02    16.79
 670.9623  9.1859e-02    16.61
 670.9664  9.8230e-02    17.76
 670.9705  9.2748e-02    16.77
 670.9745  8.9134e-02    16.12
 670.9786  9.4839e-02    17.15
 670.9827  9.3227e-02    16.86
 670.9867  8.7978e-02    15.91
 670.9908  8.5816e-02    15.52
 670.9948  9.4772e-02    17.14
 670.9989  9.3226e-02    16.86
 671.0030  9.3126e-02    16.84
 671.0070  9.5611e-02    17.29
 671.0111  1.0767e-01    19.47
 671.0152  1.0832e-01    19.59
 671.0192  1.0969e-01    19.83
 671.0233  1.0964e-01    19.83
 671.0274  9.9827e-02    18.05
 671.0314  8.6669e-02    15.67
 671.0355  8.6273e-02    15.60
 671.0396  8.9212e-02    16.13
 671.0436  9.3805e-02    16.96
 671.0477  9.0410e-02    16.35
 671.0517  9.1202e-02    16.49
 671.0558  9.2490e-02    16.72
 671.0599  8.8356e-02    15.98
 671.0639  9.0052e-02    16.28
 671.0680  9.1401e-02    16.53
 671.0721  9.2598e-02    16.74
 671.0761  9.3482e-02    16.90
 671.0802  8.5510e-02    15.46
 671.0843  8.9646e-02    16.21
 671.0883  9.7625e-02    17.65
 671.0924  9.6671e-02    17.48
 671.0964  9.7740e-02    17.68
 671.1005  9.9384e-02    17.97
 671.1046  9.9989e-02    18.08
 671.1086  1.0165e-01    18.38
 671.1127  1.1319e-01    20.47
 671.1168  1.0836e-01    19.60
 671.1208  9.6755e-02    17.50
 671.1249  8.6088e-02    15.57
 671.1290  9.0147e-02    16.30
 671.1330  8.7967e-02    15.91
 671.1371  8.4165e-02    15.22
 671.1412  9.2738e-02    16.77
 671.1452  9.1024e-02    16.46
 671.1493  9.4070e-02    17.01
 671.1533  9.7383e-02    17.61
 671.1574  8.8301e-02    15.97
 671.1615  9.0767e-02    16.42
 671.1655  9.0379e-02    16.35
 671.1696  8.9472e-02    16.18
 671.1737  9.3167e-02    16.85
 671.1777  9.3742e-02    16.95
 671.1818  9.0212e-02    16.32
 671.1859  8.4387e-02    15.26
 671.1899  7.8542e-02    14.21
 671.1940  8.2865e-02    14.99
 671.1980  8.8446e-02    16.00
 671.2021  9.1638e-02    16.57
 671.2062  8.6027e-02    15.56
 671.2102  8.8201e-02    15.95
 671.2143  8.6260e-02    15.60
 671.2184  8.6062e-02    15.57
 671.2224  9.8310e-02    17.78
 671.2265  9.2532e-02    16.74
 671.2306  9.1470e-02    16.54
 671.2346  9.1147e-02    16.49
 671.2387  9.1991e-02    16.64
 671.2428  9.3780e-02    16.96
 671.2468  9.5141e-02    17.21
 671.2509  9.5101e-02    17.20
 671.2549  8.9273e-02    16.15
 671.2590  1.0170e-01    18.40
 671.2631  1.0067e-01    18.21
 671.2671  9.5774e-02    17.32
 671.2712  8.6476e-02    15.64
 671.2753  8.9690e-02    16.22
 671.2793  9.0055e-02    16.29
 671.2834  8.8872e-02    16.08
 671.2875  8.3879e-02    15.17
 671.2915  8.6503e-02    15.65
 671.2956  8.6425e-02    15.63
 671.2996  8.8571e-02    16.02
 671.3037  9.5045e-02    17.19
 671.3078  9.2437e-02    16.72
 671.3118  8.9649e-02    16.22
 671.3159  9.0124e-02    16.30
 671.3200  9.4267e-02    17.05
 671.3240  8.8833e-02    16.07
 671.3281  9.4983e-02    17.18
 671.3322  9.6543e-02    17.47
