PLATE,MJD,RACEN,DECCEN,RUN2D,RUN1D,QUALITY,SN^2,N_gal,N_QSO,N_star,N_unk,N_sky,SURVEY,PROG,CHUNK,TILEID,PUBLIC
7339,56813,213.70,53.08,v5_7_2,v5_7_2,good,19.8,7,801,74,38,80,boss,RM,boss216,15910,
7339,56808,213.70,53.08,v5_7_2,v5_7_2,good,17.7,4,791,70,55,80,boss,RM,boss216,15910,
7339,56804,213.70,53.08,v5_7_2,v5_7_2,good,17.5,4,811,70,35,80,boss,RM,boss216,15910,
7339,56799,213.70,53.08,v5_7_2,v5_7_2,good,34.2,4,829,70,17,80,boss,RM,boss216,15910,
7339,56795,213.70,53.08,v5_7_2,v5_7_2,good,17.6,3,814,70,33,80,boss,RM,boss216,15910,
7339,56783,213.70,53.08,v5_7_2,v5_7_2,good,22.2,4,820,70,26,80,boss,RM,boss216,15910,
7339,56782,213.70,53.08,v5_7_2,v5_7_2,good,27.3,5,825,70,20,80,boss,RM,boss216,15910,
7339,56780,213.70,53.08,v5_7_2,v5_7_2,good,32.0,3,817,70,30,80,boss,RM,boss216,15910,
7339,56772,213.70,53.08,v5_7_2,v5_7_2,good,31.8,1,831,69,19,80,boss,RM,boss216,15910,
7339,56768,213.70,53.08,v5_7_2,v5_7_2,good,33.2,4,822,70,24,80,boss,RM,boss216,15910,
7340,56837,213.70,53.08,v5_7_2,v5_7_2,good,28.5,3,814,69,34,80,boss,RM,boss216,15910,
7340,56833,213.70,53.08,v5_7_2,v5_7_2,good,21.9,3,804,69,44,80,boss,RM,boss216,15910,
7340,56829,213.70,53.08,v5_7_2,v5_7_2,good,18.5,2,806,70,42,80,boss,RM,boss216,15910,
7340,56825,213.70,53.08,v5_7_2,v5_7_2,good,25.0,1,815,70,34,80,boss,RM,boss216,15910,
7386,56769,156.80,47.50,v5_7_2,v5_7_2,good,11.9,293,336,110,181,80,boss,sequels,boss214,15857,
7388,56783,158.00,45.94,v5_7_2,v5_7_2,good,10.3,326,305,146,143,80,boss,sequels,boss214,15859,
7389,56769,159.78,47.53,v5_7_2,v5_7_2,good,11.4,230,280,133,277,80,boss,sequels,boss214,15860,
7391,56781,161.10,45.96,v5_7_2,v5_7_2,good,15.0,299,337,159,123,82,boss,sequels,boss214,15862,
7396,56809,171.20,46.34,v5_7_2,v5_7_2,good,17.7,286,361,163,110,80,boss,sequels,boss214,15881,
